Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
11/19/2012 00:39:43	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.2.1191	11/19/2012 00:39:42	11/19/2012 06:39:42	6656
11/19/2012 01:01:36	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.3.1848	11/19/2012 01:01:36	11/19/2012 07:01:36	6656
11/19/2012 11:56:41	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.4.21499	11/19/2012 11:56:39	11/19/2012 17:56:39	6656
11/19/2012 16:55:57	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.5.30477	11/19/2012 16:55:55	11/19/2012 22:55:55	9728
11/19/2012 16:59:20	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.6.30580	11/19/2012 16:59:20	11/19/2012 22:59:20	9728
11/19/2012 17:04:25	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.7.30732	11/19/2012 17:04:25	11/19/2012 23:04:25	9728
11/19/2012 17:07:01	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.8.30810	11/19/2012 17:07:01	11/19/2012 23:07:01	9728
11/19/2012 17:55:21	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.9.32258	11/19/2012 17:55:20	11/19/2012 23:55:20	9728
11/19/2012 18:11:52	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.10.32755	11/19/2012 18:11:51	11/20/2012 00:11:51	9728
11/19/2012 18:19:20	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.11.32980	11/19/2012 18:19:20	11/20/2012 00:19:20	9728
11/21/2012 14:14:13	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.12.25625	11/21/2012 14:14:12	11/21/2012 20:14:12	9728
11/21/2012 22:26:01	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.13.40380	11/21/2012 22:26:01	11/22/2012 04:26:01	9728
11/22/2012 01:01:36	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.14.1847	11/22/2012 01:01:35	11/22/2012 07:01:35	9728
11/22/2012 01:09:36	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.15.2088	11/22/2012 01:09:36	11/22/2012 07:09:36	9728
11/22/2012 23:18:17	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.16.41947	11/22/2012 23:18:16	11/23/2012 05:18:16	10240
11/22/2012 23:22:57	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.17.42088	11/22/2012 23:22:56	11/23/2012 05:22:56	10240
11/22/2012 23:29:01	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.18.42270	11/22/2012 23:29:01	11/23/2012 05:29:01	10240
11/22/2012 23:36:51	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.19.42505	11/22/2012 23:36:51	11/23/2012 05:36:51	10752
11/22/2012 23:44:10	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.20.42724	11/22/2012 23:44:09	11/23/2012 05:44:09	10752
11/22/2012 23:52:54	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.21.42986	11/22/2012 23:52:53	11/23/2012 05:52:53	10752
11/22/2012 23:58:28	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.22.43154	11/22/2012 23:58:28	11/23/2012 05:58:28	10752
11/23/2012 00:27:25	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Release\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.0.23.822	11/23/2012 00:27:24	11/23/2012 06:27:24	9728
01/04/2013 00:57:31	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Release\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.1.24.1725	01/04/2013 00:57:30	01/04/2013 06:57:30	10240
01/04/2013 01:14:49	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Release\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.1.25.2244	01/04/2013 01:14:49	01/04/2013 07:14:49	10240
01/04/2013 01:22:31	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Release\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.1.26.2475	01/04/2013 01:22:31	01/04/2013 07:22:31	10240
01/04/2013 01:28:52	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Release\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.1.27.2666	01/04/2013 01:28:52	01/04/2013 07:28:52	10240
01/04/2013 01:38:37	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Release\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.1.28.2958	01/04/2013 01:38:36	01/04/2013 07:38:36	10240
01/05/2013 02:21:22	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Release\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.1.29.4240	01/05/2013 02:21:21	01/05/2013 08:21:21	10240
01/05/2013 02:22:24	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Release\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.1.30.4271	01/05/2013 02:22:24	01/05/2013 08:22:24	10240
01/05/2013 02:25:13	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Release\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.1.31.4356	01/05/2013 02:25:13	01/05/2013 08:25:13	10240
01/05/2013 02:25:52	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Release\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.1.32.4376	01/05/2013 02:25:52	01/05/2013 08:25:52	10240
01/05/2013 02:26:43	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Release\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.1.33.4401	01/05/2013 02:26:42	01/05/2013 08:26:42	10240
01/05/2013 02:32:05	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Release\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.1.34.4562	01/05/2013 02:32:05	01/05/2013 08:32:05	10240
01/05/2013 02:32:28	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.1.35.4573	01/05/2013 02:32:27	01/05/2013 08:32:27	10752
01/05/2013 02:36:05	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4\bin\Debug\WizardWrx.SharedUtl4.dll	WizardWrx Utility Libraies	WizardWrx General Utility Library #4	2.1.36.4682	01/05/2013 02:36:05	01/05/2013 08:36:05	10752
