Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
11/19/2012 01:01:40	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4_TestStand\bin\Debug\SharedUtl4_TestStand.exe	WizardWrx Utility Libraies	Test Stand for WizardWrx General Utility Library #4	2.0.3.1850	11/19/2012 01:01:40	11/19/2012 07:01:40	16384
11/19/2012 11:56:45	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4_TestStand\bin\Debug\SharedUtl4_TestStand.exe	WizardWrx Utility Libraies	Test Stand for WizardWrx General Utility Library #4	2.0.3.21502	11/19/2012 11:56:45	11/19/2012 17:56:45	17920
11/19/2012 13:57:40	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4_TestStand\bin\Debug\SharedUtl4_TestStand.exe	WizardWrx Utility Libraies	Test Stand for WizardWrx General Utility Library #4	2.0.4.25129	11/19/2012 13:57:39	11/19/2012 19:57:39	22528
11/19/2012 13:59:23	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4_TestStand\bin\Debug\SharedUtl4_TestStand.exe	WizardWrx Utility Libraies	Test Stand for WizardWrx General Utility Library #4	2.0.5.25181	11/19/2012 13:59:23	11/19/2012 19:59:23	22528
11/19/2012 16:56:04	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4_TestStand\bin\Debug\SharedUtl4_TestStand.exe	WizardWrx Utility Libraies	Test Stand for WizardWrx General Utility Library #4	2.0.6.30481	11/19/2012 16:56:03	11/19/2012 22:56:03	23040
11/19/2012 16:59:25	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4_TestStand\bin\Debug\SharedUtl4_TestStand.exe	WizardWrx Utility Libraies	Test Stand for WizardWrx General Utility Library #4	2.0.7.30582	11/19/2012 16:59:25	11/19/2012 22:59:25	23040
11/19/2012 17:04:30	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4_TestStand\bin\Debug\SharedUtl4_TestStand.exe	WizardWrx Utility Libraies	Test Stand for WizardWrx General Utility Library #4	2.0.8.30734	11/19/2012 17:04:29	11/19/2012 23:04:29	23040
11/19/2012 17:07:06	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4_TestStand\bin\Debug\SharedUtl4_TestStand.exe	WizardWrx Utility Libraies	Test Stand for WizardWrx General Utility Library #4	2.0.9.30812	11/19/2012 17:07:06	11/19/2012 23:07:06	23040
11/19/2012 17:55:26	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4_TestStand\bin\Debug\SharedUtl4_TestStand.exe	WizardWrx Utility Libraies	Test Stand for WizardWrx General Utility Library #4	2.0.10.32262	11/19/2012 17:55:26	11/19/2012 23:55:26	24064
11/19/2012 18:11:56	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\SharedUtl4_TestStand\bin\Debug\SharedUtl4_TestStand.exe	WizardWrx Utility Libraies	Test Stand for WizardWrx General Utility Library #4	2.0.11.32758	11/19/2012 18:11:56	11/20/2012 00:11:56	24576
